,Year,Water_Area_km2,Rainfall_mm,Temperature_C,SPEI_Summer
count,10.0,10.0,10.0,10.0,10.0
mean,2020.5,3368.8846834000005,387.16310000000004,11.2006,-1.2045999999999997
std,3.0276503540974917,221.97874460048612,80.96522451913125,0.5300480481365191,0.08003499234709777
min,2016.0,2966.603661,298.701,10.362,-1.305
25%,2018.25,3271.05074825,329.288,10.79575,-1.2822500000000001
50%,2020.5,3393.4278815,367.95500000000004,11.3485,-1.196
75%,2022.75,3512.09748875,426.03575,11.672500000000001,-1.1524999999999999
max,2025.0,3656.757288,562.404,11.813,-1.094
