,Year,Water_Area_km2,Rainfall_mm,Temperature_C,SPEI_Summer
Year,1.0,-0.664576649680076,-0.3766104234037284,0.5834579010549267,-0.0169657704774166
Water_Area_km2,-0.664576649680076,1.0,0.5998781309496638,-0.5467588717499617,0.33472115922436824
Rainfall_mm,-0.3766104234037284,0.5998781309496638,1.0,-0.1270884340939276,0.6076691014662917
Temperature_C,0.5834579010549267,-0.5467588717499617,-0.1270884340939276,1.0,-0.3818381832145539
SPEI_Summer,-0.0169657704774166,0.33472115922436824,0.6076691014662917,-0.3818381832145539,1.0
