Year,Observed_Water_Area_km2,Predicted_Water_Area_km2
2016,3455.632574,3478.2864112295624
2017,3331.223189,3431.096065164986
2018,3527.574485,3564.7365663182572
2019,3624.989843,3606.6358520692897
2020,3656.757288,3566.0708510874783
2021,3465.6665,3174.862242268966
2022,3260.78148,3250.5196274058653
2023,3097.759261,3191.252169548741
2024,3301.858553,3252.8846192331907
2025,2966.603661,3172.5024296736756
